# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
3760|92.47|295.1133|-73.9372|7124|ESO243-020
3764|143.88|127.2967|-48.7334|12297|UGC00644
3773|58.88|125.8792|-30.5657|5298|UGC00646
3784|105.68|126.7278|-40.7531|5695|UGC00652
3792|0.65|126.7607|-40.8892|-285|LGS3
3805|210.86|130.3254|-64.9544|15761|PGC003805
3812|100.93|298.0619|-65.8750|7673|IC1615
3822|108.64|284.7265|-81.5474|9955|NGC0365
3828|83.95|298.0157|-65.5429|7402|ESO195-029
3844|0.74|129.7378|-60.5774|-236|IC1613
3853|11.32|132.3594|-68.8339|1095|P0003853
3863|107.65|293.7211|-73.9653|8863|ESO243-025
3866|53.70|126.3799|-31.0967|5859|UGC00669
3881|57.28|126.3875|-30.3472|5039|PGC003881
3888|120.78|295.8983|-69.8621|5790|ESO243-026
3889|166.72|128.0888|-47.9944|12107|AGC110022
3899|44.26|126.4773|-30.3598|4707|IC1618
3903|89.54|126.6108|-31.3608|6272|UGC00673
3909|107.65|295.3157|-70.4075|9124|ESO243-027
3912|218.78|130.6452|-61.4178|14852|UGC00676
3946|62.81|126.7387|-30.4485|5501|NGC0373
3950|54.70|126.7545|-30.3662|5125|UGC00679
3953|89.13|126.7668|-30.4070|5898|NGC0375
3957|95.06|292.0680|-74.4030|8017|ESO243-030
3966|67.61|126.7931|-30.2329|5486|NGC0379
3969|74.82|126.8030|-30.2700|4423|NGC0380
3974|4.71|128.4314|-46.0175|156|UGC685
3980|21.28|300.9125|-47.1900|1508|NGC000406
3981|65.46|126.8353|-30.3470|5223|NGC0382
3982|63.39|126.8388|-30.3378|5057|NGC0383
3983|85.90|126.8491|-30.4578|4248|NGC0384
3984|64.27|126.8558|-30.4298|4991|NGC0385
3989|59.98|126.8690|-30.3867|5517|NGC0386
3990|74.47|126.3208|-23.3656|5867|UGC00690
3993|192.31|275.7664|-82.6178|10111|ES352-007
4000|172.98|131.1996|-60.4910|12831|PGC004000
4005|62.81|126.9379|-30.4345|5433|NGC0388
4017|151.36|131.2085|-60.0606|10063|UGC00698
4021|70.47|127.0305|-30.2846|4754|PGC004021
4026|173.78|131.4600|-60.4161|13526|PGC004026
4033|173.78|131.4339|-60.4010|13128|PGC004033
4042|69.18|127.0134|-29.6037|4678|NGC0392
4047|110.66|170.5135|-84.7230|8048|ESO475-012
4049|67.30|127.0226|-29.5886|4392|NGC0394
4051|62.81|127.0463|-29.6260|4967|NGC0397
4060|173.78|131.6300|-60.3121|13134|PGC004060
4063|20.61|131.7955|-60.9343|1964|UGC00711
4085|93.33|293.5863|-70.9780|7314|ESO243-041
4090|43.65|127.1901|-30.2130|4981|NGC0398
4098|123.03|293.1967|-71.4468|9347|ESO243-044
4104|82.04|293.4376|-71.0282|7803|ESO243-045
4110|56.23|127.3067|-30.5687|4638|UGC00714
4112|71.45|127.3203|-30.7406|5172|PGC004112
4116|134.28|129.4674|-48.3018|11539|UGC00717
4121|172.98|131.9818|-60.3529|12511|PGC004121
4126|3.00|127.0347|-27.0102|-47|NGC404
4131|99.08|294.4126|-69.0364|7627|ESO195-032
4148|56.49|128.7435|-41.8915|5092|UGC00723
4149|92.90|293.0981|-70.8423|7265|IC1633
4161|87.90|278.6363|-80.7398|6495|NGC0415
4168|52.48|126.5608|-19.6311|5025|UGC00725
4173|58.08|279.0540|-80.4993|3557|ESO352-015
4176|96.83|127.7803|-32.5097|6821|AGC110090
4181|115.35|292.9187|-70.6823|6782|ESO243-049
4206|67.61|127.5874|-29.6657|4686|AGC111423
4210|57.02|127.5350|-29.1411|5461|UGC00732
4222|66.68|136.0597|-68.1959|5754|AGC410067
4224|65.46|127.6335|-29.5410|5276|NGC0410
4230|106.66|129.9554|-47.4312|11439|GCG436-007
4248|72.11|298.0918|-58.1032|4824|ESO113-021
4271|68.87|292.3126|-70.7755|8371|ESO243-052
4274|58.08|283.1935|-78.2664|3515|NGC000424
4298|74.13|297.0152|-61.0357|5340|IC1649
4301|49.66|128.0115|-31.1110|4836|PGC004301
4320|51.29|128.0263|-30.5435|5004|NGC0420
4321|73.79|128.0427|-30.6621|5234|AGC110119
4334|92.04|294.6073|-66.3883|7362|IC1650
4338|58.34|127.9417|-29.3036|4784|IC1638
